Pipeline Setup,Vectorizer,Model,F1-Score,Precision,Recall,Balanced Accuracy,FP,FN,TN,TP
Custom,TfidfVectorizer,LinearSVC,0.937063006937986,0.9642003986254034,0.9123636899498969,0.9539437064328198,20,51,4448,531
Custom,TfidfVectorizer (Bigrams),LinearSVC,0.9312619704983132,0.9540178162413797,0.9106690244621278,0.952425483268539,26,52,4442,530
Custom,CountVectorizer (Bigrams),MultinomialNB,0.9250525531565122,0.9177605944856934,0.9329944002357797,0.9610144621434378,49,39,4419,543
Custom,CountVectorizer (Bigrams),LinearSVC,0.9242945078578266,0.9562172101463308,0.895254936634247,0.944942153001131,24,61,4444,521
Custom,CountVectorizer,LinearSVC,0.9216168574281101,0.9430057952784899,0.9021367521367522,0.9474875798682513,32,57,4436,525
Custom,CountVectorizer (Bigrams),LogisticRegression,0.9155542396404852,0.9660060511727128,0.8712496315944591,0.9336106414208345,18,75,4450,507
Custom,CountVectorizer,LogisticRegression,0.9151640672329602,0.9692714509546192,0.8678160919540231,0.9321177105067495,16,77,4452,505
Custom,CountVectorizer,MultinomialNB,0.9139234431796689,0.8900038492468421,0.939920424403183,0.9623513177678777,68,35,4400,547
Custom,TfidfVectorizer (Bigrams),MultinomialNB,0.9138211836144621,0.9784204327261478,0.8573975832596522,0.9274679907950961,11,83,4457,499
Default,TfidfVectorizer,LinearSVC,0.9134876323574954,0.9710640665024115,0.8625110521662245,0.9295769221765159,15,80,4453,502
Default,TfidfVectorizer (Bigrams),LinearSVC,0.9100513677299602,0.9655507232966286,0.8608311229000885,0.9284015123332496,18,81,4450,501
Default,CountVectorizer (Bigrams),LinearSVC,0.905475850668562,0.9428284378743095,0.871190686707928,0.932126028198304,31,75,4437,507
Default,CountVectorizer,LinearSVC,0.9041028962837252,0.9457859555244124,0.865988800471559,0.9297489239862525,29,78,4439,504
Custom,TfidfVectorizer,MultinomialNB,0.8988983170730978,0.9759109931611718,0.8333185971117004,0.9153167661574546,12,97,4456,485
Default,CountVectorizer (Bigrams),MultinomialNB,0.8944900550270418,0.9013750618048801,0.8883731211317418,0.9378085922264876,57,65,4411,517
Default,CountVectorizer,LogisticRegression,0.8911375932514316,0.9718246824682468,0.8230916592985558,0.9099793330851489,14,103,4454,479
Default,CountVectorizer (Bigrams),LogisticRegression,0.8899469038358994,0.9737897315504747,0.8196433834364868,0.9083670519773804,13,105,4455,477
Default,CountVectorizer,MultinomialNB,0.8880142018423183,0.8724161955691366,0.9055702917771884,0.9440575579626177,78,55,4390,527
Custom,TfidfVectorizer (Bigrams),LogisticRegression,0.8758894750556824,0.939329292962598,0.8212791040377247,0.9071706126420039,31,104,4437,478
Custom,TfidfVectorizer,LogisticRegression,0.8750624160785847,0.9464078051911091,0.8143972885352196,0.9041771321838162,27,108,4441,474
Default,TfidfVectorizer (Bigrams),MultinomialNB,0.8693279408401311,0.9767494225290891,0.7835396404361921,0.8905391446429667,11,126,4457,456
Default,TfidfVectorizer,MultinomialNB,0.8689329566272981,0.9704345712089548,0.7869731800766283,0.891920093474185,14,124,4454,458
Default,TfidfVectorizer (Bigrams),LogisticRegression,0.8304110920310643,0.9814053736794053,0.7199381078691424,0.8590740740888411,8,163,4460,419
Default,TfidfVectorizer,LogisticRegression,0.8190077351752144,0.9720503494100126,0.7078838785735339,0.8525991563691703,12,170,4456,412
